2025-04-07 20:18:11 startup packages configure
2025-04-07 20:18:11 configure libcap2:amd64 1:2.75-4 <none>
2025-04-07 20:18:11 status unpacked libcap2:amd64 1:2.75-4
2025-04-07 20:18:11 status half-configured libcap2:amd64 1:2.75-4
2025-04-07 20:18:11 status installed libcap2:amd64 1:2.75-4
2025-04-07 20:18:11 startup archives unpack
2025-04-07 20:18:11 install libelf1t64:amd64 <none> 0.192-4
2025-04-07 20:18:11 status half-installed libelf1t64:amd64 0.192-4
2025-04-07 20:18:11 status unpacked libelf1t64:amd64 0.192-4
2025-04-07 20:18:11 install libbpf1:amd64 <none> 1:1.5.0-2
2025-04-07 20:18:11 status half-installed libbpf1:amd64 1:1.5.0-2
2025-04-07 20:18:11 status unpacked libbpf1:amd64 1:1.5.0-2
2025-04-07 20:18:11 install libmnl0:amd64 <none> 1.0.5-3
2025-04-07 20:18:11 status half-installed libmnl0:amd64 1.0.5-3
2025-04-07 20:18:12 status unpacked libmnl0:amd64 1.0.5-3
2025-04-07 20:18:12 install libtirpc-common:all <none> 1.3.6+ds-1
2025-04-07 20:18:12 status half-installed libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:18:12 status unpacked libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:18:12 install libtirpc3t64:amd64 <none> 1.3.6+ds-1
2025-04-07 20:18:12 status half-installed libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:18:12 status unpacked libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:18:12 install libxtables12:amd64 <none> 1.8.11-2
2025-04-07 20:18:12 status half-installed libxtables12:amd64 1.8.11-2
2025-04-07 20:18:12 status unpacked libxtables12:amd64 1.8.11-2
2025-04-07 20:18:12 install libcap2-bin:amd64 <none> 1:2.75-4
2025-04-07 20:18:12 status half-installed libcap2-bin:amd64 1:2.75-4
2025-04-07 20:18:12 status unpacked libcap2-bin:amd64 1:2.75-4
2025-04-07 20:18:12 install iproute2:amd64 <none> 6.14.0-1
2025-04-07 20:18:12 status half-installed iproute2:amd64 6.14.0-1
2025-04-07 20:18:12 status unpacked iproute2:amd64 6.14.0-1
2025-04-07 20:18:12 install libpam-cap:amd64 <none> 1:2.75-4
2025-04-07 20:18:12 status half-installed libpam-cap:amd64 1:2.75-4
2025-04-07 20:18:12 status unpacked libpam-cap:amd64 1:2.75-4
2025-04-07 20:18:12 startup packages configure
2025-04-07 20:18:12 configure libtirpc-common:all 1.3.6+ds-1 <none>
2025-04-07 20:18:12 status unpacked libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:18:12 status half-configured libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:18:12 status installed libtirpc-common:all 1.3.6+ds-1
2025-04-07 20:18:12 configure libelf1t64:amd64 0.192-4 <none>
2025-04-07 20:18:12 status unpacked libelf1t64:amd64 0.192-4
2025-04-07 20:18:12 status half-configured libelf1t64:amd64 0.192-4
2025-04-07 20:18:12 status installed libelf1t64:amd64 0.192-4
2025-04-07 20:18:13 configure libcap2-bin:amd64 1:2.75-4 <none>
2025-04-07 20:18:13 status unpacked libcap2-bin:amd64 1:2.75-4
2025-04-07 20:18:13 status half-configured libcap2-bin:amd64 1:2.75-4
2025-04-07 20:18:13 status installed libcap2-bin:amd64 1:2.75-4
2025-04-07 20:18:13 configure libmnl0:amd64 1.0.5-3 <none>
2025-04-07 20:18:13 status unpacked libmnl0:amd64 1.0.5-3
2025-04-07 20:18:13 status half-configured libmnl0:amd64 1.0.5-3
2025-04-07 20:18:13 status installed libmnl0:amd64 1.0.5-3
2025-04-07 20:18:13 configure libxtables12:amd64 1.8.11-2 <none>
2025-04-07 20:18:13 status unpacked libxtables12:amd64 1.8.11-2
2025-04-07 20:18:13 status half-configured libxtables12:amd64 1.8.11-2
2025-04-07 20:18:13 status installed libxtables12:amd64 1.8.11-2
2025-04-07 20:18:13 configure libpam-cap:amd64 1:2.75-4 <none>
2025-04-07 20:18:13 status unpacked libpam-cap:amd64 1:2.75-4
2025-04-07 20:18:13 status half-configured libpam-cap:amd64 1:2.75-4
2025-04-07 20:18:13 status installed libpam-cap:amd64 1:2.75-4
2025-04-07 20:18:13 configure libbpf1:amd64 1:1.5.0-2 <none>
2025-04-07 20:18:13 status unpacked libbpf1:amd64 1:1.5.0-2
2025-04-07 20:18:13 status half-configured libbpf1:amd64 1:1.5.0-2
2025-04-07 20:18:13 status installed libbpf1:amd64 1:1.5.0-2
2025-04-07 20:18:13 configure libtirpc3t64:amd64 1.3.6+ds-1 <none>
2025-04-07 20:18:13 status unpacked libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:18:13 status half-configured libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:18:13 status installed libtirpc3t64:amd64 1.3.6+ds-1
2025-04-07 20:18:13 configure iproute2:amd64 6.14.0-1 <none>
2025-04-07 20:18:13 status unpacked iproute2:amd64 6.14.0-1
2025-04-07 20:18:13 status half-configured iproute2:amd64 6.14.0-1
2025-04-07 20:18:13 status installed iproute2:amd64 6.14.0-1
2025-04-07 20:18:13 trigproc libc-bin:amd64 2.38-14 <none>
2025-04-07 20:18:13 status half-configured libc-bin:amd64 2.38-14
2025-04-07 20:18:13 status installed libc-bin:amd64 2.38-14
